"initial_alias","converted_alias","name","description","namespace"
"GO:0007166","ENSMUSG00000000555","Itga5","integrin alpha 5 (fibronectin receptor alpha) [Source:MGI Symbol;Acc:MGI:96604]","GO"
"GO:0007166","ENSMUSG00000000562","Adora3","adenosine A3 receptor [Source:MGI Symbol;Acc:MGI:104847]","GO"
"GO:0007166","ENSMUSG00000000567","Sox9","SRY (sex determining region Y)-box 9 [Source:MGI Symbol;Acc:MGI:98371]","GO"
"GO:0007166","ENSMUSG00000000617","Grm6","glutamate receptor, metabotropic 6 [Source:MGI Symbol;Acc:MGI:1351343]","GO"
"GO:0007166","ENSMUSG00000000627","Sema4f","sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain [Source:MGI Symbol;Acc:MGI:1340055]","GO"
"GO:0007166","ENSMUSG00000000632","Sez6","seizure related gene 6 [Source:MGI Symbol;Acc:MGI:104745]","GO"
"GO:0007166","ENSMUSG00000000693","Loxl3","lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]","GO"
"GO:0007166","ENSMUSG00000000706","Btn1a1","butyrophilin, subfamily 1, member A1 [Source:MGI Symbol;Acc:MGI:103118]","GO"
"GO:0007166","ENSMUSG00000000732","Icosl","icos ligand [Source:MGI Symbol;Acc:MGI:1354701]","GO"
"GO:0007166","ENSMUSG00000000766","Oprm1","opioid receptor, mu 1 [Source:MGI Symbol;Acc:MGI:97441]","GO"
"GO:0007166","ENSMUSG00000000782","Tcf7","transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]","GO"
"GO:0007166","ENSMUSG00000000787","Ddx3x","DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked [Source:MGI Symbol;Acc:MGI:103064]","GO"
"GO:0007166","ENSMUSG00000000791","Il12rb1","interleukin 12 receptor, beta 1 [Source:MGI Symbol;Acc:MGI:104579]","GO"
"GO:0007166","ENSMUSG00000000817","Fasl","Fas ligand (TNF superfamily, member 6) [Source:MGI Symbol;Acc:MGI:99255]","GO"
"GO:0007166","ENSMUSG00000000869","Il4","interleukin 4 [Source:MGI Symbol;Acc:MGI:96556]","GO"
"GO:0007166","ENSMUSG00000000889","Dbh","dopamine beta hydroxylase [Source:MGI Symbol;Acc:MGI:94864]","GO"
"GO:0007166","ENSMUSG00000000915","Hip1r","huntingtin interacting protein 1 related [Source:MGI Symbol;Acc:MGI:1352504]","GO"
"GO:0007166","ENSMUSG00000000957","Mmp14","matrix metallopeptidase 14 (membrane-inserted) [Source:MGI Symbol;Acc:MGI:101900]","GO"
"GO:0007166","ENSMUSG00000000982","Ccl3","chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]","GO"
"GO:0007166","ENSMUSG00000001034","Mapk7","mitogen-activated protein kinase 7 [Source:MGI Symbol;Acc:MGI:1346347]","GO"
"GO:0007166","ENSMUSG00000001036","Epn2","epsin 2 [Source:MGI Symbol;Acc:MGI:1333766]","GO"
"GO:0007166","ENSMUSG00000001039","B9d1","B9 protein domain 1 [Source:MGI Symbol;Acc:MGI:1351471]","GO"
"GO:0007166","ENSMUSG00000001098","Kctd10","potassium channel tetramerisation domain containing 10 [Source:MGI Symbol;Acc:MGI:2141207]","GO"
"GO:0007166","ENSMUSG00000001105","Ift20","intraflagellar transport 20 [Source:MGI Symbol;Acc:MGI:1915585]","GO"
"GO:0007166","ENSMUSG00000001123","Lgals9","lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]","GO"
"GO:0007166","ENSMUSG00000001131","Timp1","tissue inhibitor of metalloproteinase 1 [Source:MGI Symbol;Acc:MGI:98752]","GO"
"GO:0007166","ENSMUSG00000001227","Sema6b","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B [Source:MGI Symbol;Acc:MGI:1202889]","GO"
"GO:0007166","ENSMUSG00000001281","Itgb7","integrin beta 7 [Source:MGI Symbol;Acc:MGI:96616]","GO"
"GO:0007166","ENSMUSG00000001289","Pfdn5","prefoldin 5 [Source:MGI Symbol;Acc:MGI:1928753]","GO"
"GO:0007166","ENSMUSG00000001300","Efnb2","ephrin B2 [Source:MGI Symbol;Acc:MGI:105097]","GO"
"GO:0007166","ENSMUSG00000001494","Sost","sclerostin [Source:MGI Symbol;Acc:MGI:1921749]","GO"
"GO:0007166","ENSMUSG00000001496","Nkx2-1","NK2 homeobox 1 [Source:MGI Symbol;Acc:MGI:108067]","GO"
"GO:0007166","ENSMUSG00000001506","Col1a1","collagen, type I, alpha 1 [Source:MGI Symbol;Acc:MGI:88467]","GO"
"GO:0007166","ENSMUSG00000001507","Itga3","integrin alpha 3 [Source:MGI Symbol;Acc:MGI:96602]","GO"
"GO:0007166","ENSMUSG00000001520","Nrip2","nuclear receptor interacting protein 2 [Source:MGI Symbol;Acc:MGI:1891884]","GO"
"GO:0007166","ENSMUSG00000001521","Tulp3","tubby-like protein 3 [Source:MGI Symbol;Acc:MGI:1329045]","GO"
"GO:0007166","ENSMUSG00000001583","Tnk1","tyrosine kinase, non-receptor, 1 [Source:MGI Symbol;Acc:MGI:1930958]","GO"
"GO:0007166","ENSMUSG00000001642","Akr1b3","aldo-keto reductase family 1, member B3 (aldose reductase) [Source:MGI Symbol;Acc:MGI:1353494]","GO"
"GO:0007166","ENSMUSG00000001729","Akt1","thymoma viral proto-oncogene 1 [Source:MGI Symbol;Acc:MGI:87986]","GO"
"GO:0007166","ENSMUSG00000001761","Smo","smoothened, frizzled class receptor [Source:MGI Symbol;Acc:MGI:108075]","GO"
"GO:0007166","ENSMUSG00000001785","Pwp1","PWP1 homolog, endonuclein [Source:MGI Symbol;Acc:MGI:1914735]","GO"
"GO:0007166","ENSMUSG00000001804","Dsg4","desmoglein 4 [Source:MGI Symbol;Acc:MGI:2661061]","GO"
"GO:0007166","ENSMUSG00000001827","Folr1","folate receptor 1 (adult) [Source:MGI Symbol;Acc:MGI:95568]","GO"
"GO:0007166","ENSMUSG00000001847","Rac1","Rac family small GTPase 1 [Source:MGI Symbol;Acc:MGI:97845]","GO"
"GO:0007166","ENSMUSG00000001870","Ltbp1","latent transforming growth factor beta binding protein 1 [Source:MGI Symbol;Acc:MGI:109151]","GO"
"GO:0007166","ENSMUSG00000001964","Emd","emerin [Source:MGI Symbol;Acc:MGI:108117]","GO"
"GO:0007166","ENSMUSG00000001985","Grik3","glutamate receptor, ionotropic, kainate 3 [Source:MGI Symbol;Acc:MGI:95816]","GO"
"GO:0007166","ENSMUSG00000001986","Gria3","glutamate receptor, ionotropic, AMPA3 (alpha 3) [Source:MGI Symbol;Acc:MGI:95810]","GO"
"GO:0007166","ENSMUSG00000002031","Ift46","intraflagellar transport 46 [Source:MGI Symbol;Acc:MGI:1923818]","GO"
"GO:0007166","ENSMUSG00000002033","Cd3g","CD3 antigen, gamma polypeptide [Source:MGI Symbol;Acc:MGI:88333]","GO"
"GO:0007166","ENSMUSG00000002068","Ccne1","cyclin E1 [Source:MGI Symbol;Acc:MGI:88316]","GO"
"GO:0007166","ENSMUSG00000002111","Spi1","spleen focus forming virus (SFFV) proviral integration oncogene [Source:MGI Symbol;Acc:MGI:98282]","GO"
"GO:0007166","ENSMUSG00000002147","Stat6","signal transducer and activator of transcription 6 [Source:MGI Symbol;Acc:MGI:103034]","GO"
"GO:0007166","ENSMUSG00000002384","Bmp8b","bone morphogenetic protein 8b [Source:MGI Symbol;Acc:MGI:107335]","GO"
"GO:0007166","ENSMUSG00000002413","Braf","Braf transforming gene [Source:MGI Symbol;Acc:MGI:88190]","GO"
"GO:0007166","ENSMUSG00000002489","Tiam1","T cell lymphoma invasion and metastasis 1 [Source:MGI Symbol;Acc:MGI:103306]","GO"
"GO:0007166","ENSMUSG00000002602","Axl","AXL receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:1347244]","GO"
"GO:0007166","ENSMUSG00000002603","Tgfb1","transforming growth factor, beta 1 [Source:MGI Symbol;Acc:MGI:98725]","GO"
"GO:0007166","ENSMUSG00000002633","Shh","sonic hedgehog [Source:MGI Symbol;Acc:MGI:98297]","GO"
"GO:0007166","ENSMUSG00000002688","Prkd1","protein kinase D1 [Source:MGI Symbol;Acc:MGI:99879]","GO"
"GO:0007166","ENSMUSG00000002699","Lcp2","lymphocyte cytosolic protein 2 [Source:MGI Symbol;Acc:MGI:1321402]","GO"
"GO:0007166","ENSMUSG00000002771","Grin2d","glutamate receptor, ionotropic, NMDA2D (epsilon 4) [Source:MGI Symbol;Acc:MGI:95823]","GO"
"GO:0007166","ENSMUSG00000002799","Jag2","jagged 2 [Source:MGI Symbol;Acc:MGI:1098270]","GO"
"GO:0007166","ENSMUSG00000002885","Adgre5","adhesion G protein-coupled receptor E5 [Source:MGI Symbol;Acc:MGI:1347095]","GO"
"GO:0007166","ENSMUSG00000002897","Il17ra","interleukin 17 receptor A [Source:MGI Symbol;Acc:MGI:107399]","GO"
"GO:0007166","ENSMUSG00000002944","Cd36","CD36 molecule [Source:MGI Symbol;Acc:MGI:107899]","GO"
"GO:0007166","ENSMUSG00000002985","Apoe","apolipoprotein E [Source:MGI Symbol;Acc:MGI:88057]","GO"
"GO:0007166","ENSMUSG00000003031","Cdkn1b","cyclin-dependent kinase inhibitor 1B [Source:MGI Symbol;Acc:MGI:104565]","GO"
"GO:0007166","ENSMUSG00000003032","Klf4","Kruppel-like factor 4 (gut) [Source:MGI Symbol;Acc:MGI:1342287]","GO"
"GO:0007166","ENSMUSG00000003068","Stk11","serine/threonine kinase 11 [Source:MGI Symbol;Acc:MGI:1341870]","GO"
"GO:0007166","ENSMUSG00000003070","Efna2","ephrin A2 [Source:MGI Symbol;Acc:MGI:102707]","GO"
"GO:0007166","ENSMUSG00000003184","Irf3","interferon regulatory factor 3 [Source:MGI Symbol;Acc:MGI:1859179]","GO"
"GO:0007166","ENSMUSG00000003200","Sh3gl1","SH3-domain GRB2-like 1 [Source:MGI Symbol;Acc:MGI:700010]","GO"
"GO:0007166","ENSMUSG00000003206","Ebi3","Epstein-Barr virus induced gene 3 [Source:MGI Symbol;Acc:MGI:1354171]","GO"
"GO:0007166","ENSMUSG00000003228","Grk5","G protein-coupled receptor kinase 5 [Source:MGI Symbol;Acc:MGI:109161]","GO"
"GO:0007166","ENSMUSG00000003233","Dvl3","dishevelled segment polarity protein 3 [Source:MGI Symbol;Acc:MGI:108100]","GO"
"GO:0007166","ENSMUSG00000003235","Eif2b5","eukaryotic translation initiation factor 2B, subunit 5 epsilon [Source:MGI Symbol;Acc:MGI:2446176]","GO"
"GO:0007166","ENSMUSG00000003283","Hck","hemopoietic cell kinase [Source:MGI Symbol;Acc:MGI:96052]","GO"
"GO:0007166","ENSMUSG00000003316","Glg1","golgi apparatus protein 1 [Source:MGI Symbol;Acc:MGI:104967]","GO"
"GO:0007166","ENSMUSG00000003345","Csnk1g2","casein kinase 1, gamma 2 [Source:MGI Symbol;Acc:MGI:1920014]","GO"
"GO:0007166","ENSMUSG00000003352","Cacnb3","calcium channel, voltage-dependent, beta 3 subunit [Source:MGI Symbol;Acc:MGI:103307]","GO"
"GO:0007166","ENSMUSG00000003378","Grik5","glutamate receptor, ionotropic, kainate 5 (gamma 2) [Source:MGI Symbol;Acc:MGI:95818]","GO"
"GO:0007166","ENSMUSG00000003379","Cd79a","CD79A antigen (immunoglobulin-associated alpha) [Source:MGI Symbol;Acc:MGI:101774]","GO"
"GO:0007166","ENSMUSG00000003436","Dll3","delta like canonical Notch ligand 3 [Source:MGI Symbol;Acc:MGI:1096877]","GO"
"GO:0007166","ENSMUSG00000003437","Paf1","Paf1, RNA polymerase II complex component [Source:MGI Symbol;Acc:MGI:1923988]","GO"
"GO:0007166","ENSMUSG00000003458","Ncstn","nicastrin [Source:MGI Symbol;Acc:MGI:1891700]","GO"
"GO:0007166","ENSMUSG00000003476","Crhr2","corticotropin releasing hormone receptor 2 [Source:MGI Symbol;Acc:MGI:894312]","GO"
"GO:0007166","ENSMUSG00000003518","Dusp3","dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related) [Source:MGI Symbol;Acc:MGI:1919599]","GO"
"GO:0007166","ENSMUSG00000003534","Ddr1","discoidin domain receptor family, member 1 [Source:MGI Symbol;Acc:MGI:99216]","GO"
"GO:0007166","ENSMUSG00000003573","Homer3","homer scaffolding protein 3 [Source:MGI Symbol;Acc:MGI:1347359]","GO"
"GO:0007166","ENSMUSG00000003868","Ruvbl2","RuvB-like protein 2 [Source:MGI Symbol;Acc:MGI:1342299]","GO"
"GO:0007166","ENSMUSG00000003873","Bax","BCL2-associated X protein [Source:MGI Symbol;Acc:MGI:99702]","GO"
"GO:0007166","ENSMUSG00000003882","Il7r","interleukin 7 receptor [Source:MGI Symbol;Acc:MGI:96562]","GO"
"GO:0007166","ENSMUSG00000003934","Efnb3","ephrin B3 [Source:MGI Symbol;Acc:MGI:109196]","GO"
"GO:0007166","ENSMUSG00000003974","Grm3","glutamate receptor, metabotropic 3 [Source:MGI Symbol;Acc:MGI:1351340]","GO"
"GO:0007166","ENSMUSG00000004040","Stat3","signal transducer and activator of transcription 3 [Source:MGI Symbol;Acc:MGI:103038]","GO"
"GO:0007166","ENSMUSG00000004043","Stat5a","signal transducer and activator of transcription 5A [Source:MGI Symbol;Acc:MGI:103036]","GO"
"GO:0007166","ENSMUSG00000004056","Akt2","thymoma viral proto-oncogene 2 [Source:MGI Symbol;Acc:MGI:104874]","GO"
"GO:0007166","ENSMUSG00000004069","Dnaja3","DnaJ heat shock protein family (Hsp40) member A3 [Source:MGI Symbol;Acc:MGI:1933786]","GO"
"GO:0007166","ENSMUSG00000004071","Cdip1","cell death inducing Trp53 target 1 [Source:MGI Symbol;Acc:MGI:1913876]","GO"
"GO:0007166","ENSMUSG00000004266","Ptpn6","protein tyrosine phosphatase, non-receptor type 6 [Source:MGI Symbol;Acc:MGI:96055]","GO"
"GO:0007166","ENSMUSG00000004296","Il12b","interleukin 12b [Source:MGI Symbol;Acc:MGI:96540]","GO"
"GO:0007166","ENSMUSG00000004364","Cul3","cullin 3 [Source:MGI Symbol;Acc:MGI:1347360]","GO"
"GO:0007166","ENSMUSG00000004446","Bid","BH3 interacting domain death agonist [Source:MGI Symbol;Acc:MGI:108093]","GO"
"GO:0007166","ENSMUSG00000004508","Gab2","growth factor receptor bound protein 2-associated protein 2 [Source:MGI Symbol;Acc:MGI:1333854]","GO"
"GO:0007166","ENSMUSG00000004558","Ndrg2","N-myc downstream regulated gene 2 [Source:MGI Symbol;Acc:MGI:1352498]","GO"
"GO:0007166","ENSMUSG00000004637","Wwox","WW domain-containing oxidoreductase [Source:MGI Symbol;Acc:MGI:1931237]","GO"
"GO:0007166","ENSMUSG00000004654","Ghrhr","growth hormone releasing hormone receptor [Source:MGI Symbol;Acc:MGI:95710]","GO"
"GO:0007166","ENSMUSG00000004677","Myo9b","myosin IXb [Source:MGI Symbol;Acc:MGI:106624]","GO"
"GO:0007166","ENSMUSG00000004730","Adgre1","adhesion G protein-coupled receptor E1 [Source:MGI Symbol;Acc:MGI:106912]","GO"
"GO:0007166","ENSMUSG00000004788","Eif2b2","eukaryotic translation initiation factor 2B, subunit 2 beta [Source:MGI Symbol;Acc:MGI:2145118]","GO"
"GO:0007166","ENSMUSG00000004791","Pgf","placental growth factor [Source:MGI Symbol;Acc:MGI:105095]","GO"
"GO:0007166","ENSMUSG00000004814","Ccl24","chemokine (C-C motif) ligand 24 [Source:MGI Symbol;Acc:MGI:1928953]","GO"
"GO:0007166","ENSMUSG00000004815","Dgkq","diacylglycerol kinase, theta [Source:MGI Symbol;Acc:MGI:102918]","GO"
"GO:0007166","ENSMUSG00000004842","Pou1f1","POU domain, class 1, transcription factor 1 [Source:MGI Symbol;Acc:MGI:97588]","GO"
"GO:0007166","ENSMUSG00000004934","Pias4","protein inhibitor of activated STAT 4 [Source:MGI Symbol;Acc:MGI:2136940]","GO"
"GO:0007166","ENSMUSG00000004947","Dtx2","deltex 2, E3 ubiquitin ligase [Source:MGI Symbol;Acc:MGI:1921448]","GO"
"GO:0007166","ENSMUSG00000004951","Hspb1","heat shock protein 1 [Source:MGI Symbol;Acc:MGI:96240]","GO"
"GO:0007166","ENSMUSG00000005034","Prkacb","protein kinase, cAMP dependent, catalytic, beta [Source:MGI Symbol;Acc:MGI:97594]","GO"
"GO:0007166","ENSMUSG00000005057","Sh2b2","SH2B adaptor protein 2 [Source:MGI Symbol;Acc:MGI:1345171]","GO"
"GO:0007166","ENSMUSG00000005087","Cd44","CD44 antigen [Source:MGI Symbol;Acc:MGI:88338]","GO"
"GO:0007166","ENSMUSG00000005124","Ccn4","cellular communication network factor 4 [Source:MGI Symbol;Acc:MGI:1197008]","GO"
"GO:0007166","ENSMUSG00000005161","Prdx2","peroxiredoxin 2 [Source:MGI Symbol;Acc:MGI:109486]","GO"
"GO:0007166","ENSMUSG00000005268","Prlr","prolactin receptor [Source:MGI Symbol;Acc:MGI:97763]","GO"
"GO:0007166","ENSMUSG00000005320","Fgfr4","fibroblast growth factor receptor 4 [Source:MGI Symbol;Acc:MGI:95525]","GO"
"GO:0007166","ENSMUSG00000005339","Fcer1a","Fc receptor, IgE, high affinity I, alpha polypeptide [Source:MGI Symbol;Acc:MGI:95494]","GO"
"GO:0007166","ENSMUSG00000005364","Il5ra","interleukin 5 receptor, alpha [Source:MGI Symbol;Acc:MGI:96558]","GO"
"GO:0007166","ENSMUSG00000005397","Nid1","nidogen 1 [Source:MGI Symbol;Acc:MGI:97342]","GO"
"GO:0007166","ENSMUSG00000005413","Hmox1","heme oxygenase 1 [Source:MGI Symbol;Acc:MGI:96163]","GO"
"GO:0007166","ENSMUSG00000005465","Il27ra","interleukin 27 receptor, alpha [Source:MGI Symbol;Acc:MGI:1355318]","GO"
"GO:0007166","ENSMUSG00000005469","Prkaca","protein kinase, cAMP dependent, catalytic, alpha [Source:MGI Symbol;Acc:MGI:97592]","GO"
"GO:0007166","ENSMUSG00000005514","Por","P450 (cytochrome) oxidoreductase [Source:MGI Symbol;Acc:MGI:97744]","GO"
"GO:0007166","ENSMUSG00000005533","Igf1r","insulin-like growth factor I receptor [Source:MGI Symbol;Acc:MGI:96433]","GO"
"GO:0007166","ENSMUSG00000005534","Insr","insulin receptor [Source:MGI Symbol;Acc:MGI:96575]","GO"
"GO:0007166","ENSMUSG00000005583","Mef2c","myocyte enhancer factor 2C [Source:MGI Symbol;Acc:MGI:99458]","GO"
"GO:0007166","ENSMUSG00000005609","Ctr9","CTR9 homolog, Paf1/RNA polymerase II complex component [Source:MGI Symbol;Acc:MGI:109345]","GO"
"GO:0007166","ENSMUSG00000005640","Insrr","insulin receptor-related receptor [Source:MGI Symbol;Acc:MGI:1346037]","GO"
"GO:0007166","ENSMUSG00000005656","Snx6","sorting nexin 6 [Source:MGI Symbol;Acc:MGI:1919433]","GO"
"GO:0007166","ENSMUSG00000005672","Kit","KIT proto-oncogene receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:96677]","GO"
"GO:0007166","ENSMUSG00000005763","Cd247","CD247 antigen [Source:MGI Symbol;Acc:MGI:88334]","GO"
"GO:0007166","ENSMUSG00000005836","Gata6","GATA binding protein 6 [Source:MGI Symbol;Acc:MGI:107516]","GO"
"GO:0007166","ENSMUSG00000005871","Apc","APC, WNT signaling pathway regulator [Source:MGI Symbol;Acc:MGI:88039]","GO"
"GO:0007166","ENSMUSG00000005891","Prl4a1","prolactin family 4, subfamily a, member 1 [Source:MGI Symbol;Acc:MGI:1206587]","GO"
"GO:0007166","ENSMUSG00000005947","Itgae","integrin alpha E, epithelial-associated [Source:MGI Symbol;Acc:MGI:1298377]","GO"
"GO:0007166","ENSMUSG00000005950","P2rx5","purinergic receptor P2X, ligand-gated ion channel, 5 [Source:MGI Symbol;Acc:MGI:2137026]","GO"
"GO:0007166","ENSMUSG00000005952","Trpv1","transient receptor potential cation channel, subfamily V, member 1 [Source:MGI Symbol;Acc:MGI:1341787]","GO"
"GO:0007166","ENSMUSG00000005958","Ephb3","Eph receptor B3 [Source:MGI Symbol;Acc:MGI:104770]","GO"
"GO:0007166","ENSMUSG00000006127","Inpp5k","inositol polyphosphate 5-phosphatase K [Source:MGI Symbol;Acc:MGI:1194899]","GO"
"GO:0007166","ENSMUSG00000006134","Crkl","v-crk avian sarcoma virus CT10 oncogene homolog-like [Source:MGI Symbol;Acc:MGI:104686]","GO"
"GO:0007166","ENSMUSG00000006205","Htra1","HtrA serine peptidase 1 [Source:MGI Symbol;Acc:MGI:1929076]","GO"
"GO:0007166","ENSMUSG00000006235","Epor","erythropoietin receptor [Source:MGI Symbol;Acc:MGI:95408]","GO"
"GO:0007166","ENSMUSG00000006301","Tmbim1","transmembrane BAX inhibitor motif containing 1 [Source:MGI Symbol;Acc:MGI:1916910]","GO"
"GO:0007166","ENSMUSG00000006311","Etv2","ets variant 2 [Source:MGI Symbol;Acc:MGI:99253]","GO"
"GO:0007166","ENSMUSG00000006386","Tek","TEK receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:98664]","GO"
"GO:0007166","ENSMUSG00000006389","Mpl","myeloproliferative leukemia virus oncogene [Source:MGI Symbol;Acc:MGI:97076]","GO"
"GO:0007166","ENSMUSG00000006435","Neurl1a","neuralized E3 ubiquitin protein ligase 1A [Source:MGI Symbol;Acc:MGI:1334263]","GO"
"GO:0007166","ENSMUSG00000006445","Epha2","Eph receptor A2 [Source:MGI Symbol;Acc:MGI:95278]","GO"
"GO:0007166","ENSMUSG00000006456","Rbm14","RNA binding motif protein 14 [Source:MGI Symbol;Acc:MGI:1929092]","GO"
"GO:0007166","ENSMUSG00000006488","Prl7a1","prolactin family 7, subfamily a, member 1 [Source:MGI Symbol;Acc:MGI:1206572]","GO"
"GO:0007166","ENSMUSG00000006490","Prl8a9","prolactin family8, subfamily a, member 9 [Source:MGI Symbol;Acc:MGI:1914560]","GO"
"GO:0007166","ENSMUSG00000006494","Pdk1","pyruvate dehydrogenase kinase, isoenzyme 1 [Source:MGI Symbol;Acc:MGI:1926119]","GO"
"GO:0007166","ENSMUSG00000006538","Ihh","Indian hedgehog [Source:MGI Symbol;Acc:MGI:96533]","GO"
"GO:0007166","ENSMUSG00000006611","Hfe","homeostatic iron regulator [Source:MGI Symbol;Acc:MGI:109191]","GO"
"GO:0007166","ENSMUSG00000006728","Cdk4","cyclin-dependent kinase 4 [Source:MGI Symbol;Acc:MGI:88357]","GO"
"GO:0007166","ENSMUSG00000006800","Sulf2","sulfatase 2 [Source:MGI Symbol;Acc:MGI:1919293]","GO"
"GO:0007166","ENSMUSG00000006930","Hap1","huntingtin-associated protein 1 [Source:MGI Symbol;Acc:MGI:1261831]","GO"
"GO:0007166","ENSMUSG00000006932","Ctnnb1","catenin (cadherin associated protein), beta 1 [Source:MGI Symbol;Acc:MGI:88276]","GO"
"GO:0007166","ENSMUSG00000006958","Chrd","chordin [Source:MGI Symbol;Acc:MGI:1313268]","GO"
"GO:0007166","ENSMUSG00000007207","Stx1a","syntaxin 1A (brain) [Source:MGI Symbol;Acc:MGI:109355]","GO"
"GO:0007166","ENSMUSG00000007279","Scube2","signal peptide, CUB domain, EGF-like 2 [Source:MGI Symbol;Acc:MGI:1928765]","GO"
"GO:0007166","ENSMUSG00000007564","Ppp2r1a","protein phosphatase 2, regulatory subunit A, alpha [Source:MGI Symbol;Acc:MGI:1926334]","GO"
"GO:0007166","ENSMUSG00000007613","Tgfbr1","transforming growth factor, beta receptor I [Source:MGI Symbol;Acc:MGI:98728]","GO"
"GO:0007166","ENSMUSG00000007617","Homer1","homer scaffolding protein 1 [Source:MGI Symbol;Acc:MGI:1347345]","GO"
"GO:0007166","ENSMUSG00000007655","Cav1","caveolin 1, caveolae protein [Source:MGI Symbol;Acc:MGI:102709]","GO"
"GO:0007166","ENSMUSG00000007659","Bcl2l1","BCL2-like 1 [Source:MGI Symbol;Acc:MGI:88139]","GO"
"GO:0007166","ENSMUSG00000007815","Rhoa","ras homolog family member A [Source:MGI Symbol;Acc:MGI:1096342]","GO"
"GO:0007166","ENSMUSG00000007817","Zmiz1","zinc finger, MIZ-type containing 1 [Source:MGI Symbol;Acc:MGI:3040693]","GO"
"GO:0007166","ENSMUSG00000007888","Crlf1","cytokine receptor-like factor 1 [Source:MGI Symbol;Acc:MGI:1340030]","GO"
"GO:0007166","ENSMUSG00000007989","Fzd3","frizzled class receptor 3 [Source:MGI Symbol;Acc:MGI:108476]","GO"
"GO:0007166","ENSMUSG00000008090","Fgfrl1","fibroblast growth factor receptor-like 1 [Source:MGI Symbol;Acc:MGI:2150920]","GO"
"GO:0007166","ENSMUSG00000008305","Tle1","transducin-like enhancer of split 1 [Source:MGI Symbol;Acc:MGI:104636]","GO"
"GO:0007166","ENSMUSG00000008730","Hipk1","homeodomain interacting protein kinase 1 [Source:MGI Symbol;Acc:MGI:1314873]","GO"
"GO:0007166","ENSMUSG00000008734","Gprc5b","G protein-coupled receptor, family C, group 5, member B [Source:MGI Symbol;Acc:MGI:1927596]","GO"
"GO:0007166","ENSMUSG00000008999","Bmp7","bone morphogenetic protein 7 [Source:MGI Symbol;Acc:MGI:103302]","GO"
